Make,count
Jaguar,1353
JAGUAR,689
Cruise,396
Toyota,146
JLR,64
HYUNDAI,51
Peterbilt,51
Ford,50
Hyundai,46
TOYOTA,31
Chrysler,28
TESLA,18
ZOOX,17
Lexus,17
Zoox,12
Mercedes-Benz,12
Chevrolet,11
Nissan,10
Volkswagen,10
Navya,9
ZEEKR,8
Kenworth,8
Kenworth Motor Truck Co,8
EZ10,6
PETERBILT,5
Lucid,5
Lincoln,5
FREIGHTLINER,5
FORD,4
Local Motors,4
Zeekr,3
Jaquar,3
Vinfast,3
,3
Freightliner,3
KENWORTH,2
KIA,2
Polestar,2
Ligier,2
International,2
Jeep,2
EQS,2
KARSAN,1
Ohmio,1
2024,1
Huyndai,1
Local Motors (LOCM),1
Crui9se,1
NISSAN,1
LExus,1
Ligier Group,1
INTERNATIONAL,1
NAVYA,1
OLLI,1
