Model,count
I-Pace,1102
I-PACE,1004
AV,394
Highlander,126
Ioniq 5,71
Sienna,35
579,34
Escape,34
Pacifica,28
579 Epiq,19
Model Y,18
T680,18
Zoox,17
Fusion,16
RX450H,13
Prius,12
sedan,12
IONIQ 5,12
Bolt,11
ID.Buzz,10
Kona EV,10
RT,8
Leaf,6
GEN2,6
Air Touring,5
Cascadia,5
Transit,4
,4
I- Pace,4
CM1e,3
ARMA,3
VF8,3
MKZ,3
LEAF,3
RX 450h,3
Santa Fe,3
S450,3
EZ10 Gen 3,3
CASCADIA,3
SPORTAGE,2
Camry,2
MKZ Hybrid,2
Arma Autonom DL,2
Origin,2
ARMA Autonom DL,2
579m,2
RX450h,2
S580,2
Polestar 2,2
S350D,2
Grand Cherokee,2
EQS 450 4Matic,2
450 4matic,2
"Jest Electric, Jest EV, e-JEST",1
LIFT,1
S580 4M,1
S 580 4MATIC,1
Siennaa,1
Olli 2.0 Shuttle,1
Olli 2.0,1
Peterbilt 579,1
Sonata,1
ARMA Autonom,1
8AV,1
S 580 4Matic,1
Leaf SV Plus,1
111324,1
2.0,1
LT625,1
LT 625,1
LT,1
Leaf SL,1
Kona/EV,1
Arma ,1
Olli 1.0,1
1.0,1
Olli,1
