Operating Entity,count
Waymo LLC,2122
Cruise LLC,395
Zoox,140
Argo AI,50
Motional,39
May Mobility,38
"Aurora Operations, Inc.",35
Avride Inc.,31
Waymo LLC.,26
Tesla Inc,18
,17
Zoox Inc.,14
"Kodiak Robotics, Inc.",13
"Beep, Inc.",11
Pony.ai,11
Cruise,10
WeRide,9
"Waymo, LLC.",9
May Mobility Inc.,7
ADMT- VWGoA,6
"TORC ROBOTICS, INC",6
Colorado School of Mines,6
Nuro,5
May Mobility Inc,5
Avride,5
Avride Inc,4
Avride INC.,3
NVIDIA Corporation,3
"Nuro, Inc.",3
Nuro Inc,3
Apollo Autonomous Driving USA,3
Apple Inc.,3
Hyundai Motor America,3
Beep,3
"First Transit, Inc.",3
NVIDIA,2
"Kodiak Robotics, Inc",2
VWGoA- ADMT,2
ADMT - VWGoA,2
Beep Inc.,2
Ghost Autonomy Inc.,2
"Torc Robotics, Inc",2
"Zoox, Inc",2
Mercedes-Benz Research and Development North America,2
Polestar,2
TuSimple,2
Mercedes-Benz Research and Development NA,2
WAYMO LLC,2
Mercedes-Benz,2
MBUS,2
Weride Corp,2
Cruise ,2
Ohmio,1
Stack AV Co.,1
Waymo LLlC,1
BEEP Inc,1
Motional AD Inc.,1
"PLUSAI, INC",1
Avride INC,1
"AutoX Technologies, Inc.",1
"Kodiak Robotics,Inc.",1
Nuro Inc.,1
"Aurora Operations, Inc",1
"Kodiak-Robotics, Inc.",1
"Beep, Inc",1
Internal employee,1
"Pony.ai, Inc.",1
"VisLab, SRL (subsidiary of Ambarella, Inc.)",1
Mercedes-Benz RD NA,1
"Pony.ai, Inc",1
WeRide Corp,1
Waymo LLc,1
5th Generation ADS,1
BEEP,1
CRUISE,1
"Waymo, LLC",1
Waymo LLC. ,1
"Waymo, LLC ",1
Waymo LLC ,1
