Reporting Entity,count
Waymo LLC,1978
Cruise LLC,207
"General Motors, LLC",201
Transdev Alternative Services,188
"Zoox, Inc.",156
Avride Inc.,45
May Mobility,41
Motional,26
Ford Motor Company,26
Argo AI,26
PACCAR Incorporated,22
"Aurora Operations, Inc.",21
Hyundai Motor America,20
"Tesla, Inc.",18
"Beep, Inc.",15
Nuro,12
WeRide Corp,12
Kodiak Robotics,10
Pony.ai,10
"Mercedes-Benz USA, LLC",9
Toyota Motor Engineering & Manufacturing,9
Easymile Inc.,8
Mobileye Vision Technologies,5
"Lucid USA, Inc.",5
"Volkswagen Group of America, Inc.",5
"TORC Robotics, Inc.",4
"Daimler Trucks North America, LLC",4
NVIDIA CORP,3
"VinFast Auto, LLC",3
Apollo Autonomous Driving USA,3
Apple Inc.,3
Oxbotica,2
"Kia America, Inc.",2
Ghost Autonomy Inc.,2
Robotic Research,2
"Volvo Car USA, LLC",2
"Navistar, Inc.",2
"Chrysler (FCA US, LLC)",2
"Robert Bosch, LLC",2
"Ohmio, Inc.",1
Stack AV,1
PlusAI Inc,1
AutoX Technologies Inc,1
Ambarella,1
First Transit,1
TuSimple,1
NAVYA Inc.,1
Local Motors Industries,1
