State or Local Permit,count
,1733
"CA DMV, CA PUC",636
ADOT,271
CA,165
CA DMV AVT Permit,39
"DMV, CPUC",32
NV DMV AVT Permit,29
"CA DMV, CA PUC						",29
"CA PUC, CA DMV",27
Nevada,23
AZ DOT,12
AZ,12
ADOT						,10
CA DMV,7
"CA DMV, CA PUC         ",6
"CA DMV, CA PUC          ",4
"CA DMV, CA PUC           ",4
"CA DMV, CA PUC            ",4
CA DMV AVT PERMIT,4
ADOT                                                                                           						,4
California,3
"CA DMV, CA PUC              ",3
ADOT            ,3
"CA DMV, CA PUC   ",3
"CA DMV, CA PUC     ",3
"CA DMV, CA PUC       ",3
California Driver Test Permit,3
WA AV Certification and SDOT AV Permit,3
NV,2
ADOT ,2
"CA DMV, CA PUC               ",2
ADOT     ,2
"CA DMV, CA PUC                    ",2
"CA DMV, CA PUC ",2
ADOT                                                						,2
DMV,2
CA DMV AVDT Permit,1
Nevada ,1
NV AVT Permit,1
"CA DMV, CA PUC        ",1
"CA DMV, CA PUC             ",1
ADOT   ,1
"CA DMV, CA PUC  ",1
"CA DMV, CA PUC                 ",1
ADOT                                                                                                                ,1
"CA DMV, CA PUC      ",1
"CA DMV, CA PUC                ",1
ADOT          ,1
"CA DMV, CA PUC                  ",1
ADOT      ,1
ADOT               ,1
"CA DMV, CA PUC	",1
"CA DMV, CA PUC              						",1
ADOT                   						,1
CA DMV Permit for Vehicle,1
NEVADA,1
California Driver Testing Permit,1
Nevada DMV,1
"CA DMV, CA PUC				",1
CA DMV AV Permit,1
FL DMV Registration,1
California Permit No. AVT030,1
CA DMV AVDT permit,1
CA AVT032,1
CA DMV AVT autonomous permit,1
